policy,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_per_injected,escape_per_injected,escape_per_received,delivery_ratio
deterministic,uniform_random,0.100,127782,0.0997055,2.004811,9.869201,11.874012,3.377824,0,0.00529809,0.00530469,0.998756
deterministic,uniform_random,0.125,159686,0.124622,2.009729,9.917795,11.927525,3.384394,0,0.00983806,0.00984854,0.998935
deterministic,uniform_random,0.150,191898,0.149739,2.016633,9.969525,11.986158,3.389574,0,0.0162743,0.016294,0.998791
deterministic,uniform_random,0.175,224032,0.174834,2.026253,10.022959,12.049212,3.393463,0,0.023144,0.0231694,0.998906
deterministic,uniform_random,0.200,256013,0.199803,2.041130,10.104572,12.145702,3.407995,0,0.0327288,0.0327627,0.998965
deterministic,uniform_random,0.225,288236,0.224932,2.058862,10.194069,12.252931,3.421541,0,0.0425103,0.042558,0.998879
deterministic,uniform_random,0.250,320372,0.250023,2.083449,10.329201,12.412650,3.437629,0,0.054546,0.0546044,0.998929
deterministic,uniform_random,0.275,352385,0.274986,2.117571,10.538911,12.656482,3.449537,0,0.0659279,0.0660034,0.998856
deterministic,uniform_random,0.300,384297,0.299867,2.171232,11.228820,13.400052,3.454308,0,0.0762874,0.0763802,0.998785
deterministic,uniform_random,0.325,415835,0.324481,2.845650,11.857051,14.702701,3.450450,0,0.0829921,0.0830918,0.9988
deterministic,uniform_random,0.350,447828,0.349405,2.550035,12.281129,14.831164,3.446218,0,0.0908965,0.0910162,0.998685
deterministic,uniform_random,0.375,479443,0.37406,8.535248,12.561263,21.096511,3.439627,0,0.0991901,0.0993239,0.998653
deterministic,uniform_random,0.400,510459,0.39823,9.699149,12.808431,22.507580,3.435802,0,0.108459,0.108614,0.99858
deterministic,uniform_random,0.425,541983,0.422823,16.409122,13.042360,29.451482,3.431200,0,0.116926,0.117093,0.998579
deterministic,uniform_random,0.450,572570,0.446691,28.928632,13.301376,42.230007,3.427707,0,0.126123,0.1263,0.998594
