design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_selections_per_injected_packet,lateral_selections_per_received_packet,escape_activations_per_received_packet
000_adaptive,adaptive,0,0,tornado_y,0.875,767944,0.599566,1571.651486,5,1576.651486,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.900,767954,0.599573,1666.524519,5,1671.524519,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.925,767967,0.59958,1757.490494,5,1762.490494,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.950,767977,0.599586,1842.665071,5,1847.665071,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.975,767989,0.599594,1922.652627,5,1927.652627,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,1.000,768000,0.5996,1999.628953,5,2004.628953,1,0,0,0
340_adaptive,adaptive,3,4,diagonal_3d,0.025,31877,0.024875,2.000031,11.055842,13.055873,4.000220,0,0,6.28141e-05
340_adaptive,adaptive,3,4,diagonal_3d,0.050,64179,0.0500867,2.000530,11.129276,13.129806,4.001482,0,0,0.000811093
340_adaptive,adaptive,3,4,diagonal_3d,0.075,95843,0.0747922,2.002214,11.231819,13.234034,4.009746,0,0,0.00509746
340_adaptive,adaptive,3,4,diagonal_3d,0.100,128013,0.0998992,2.005255,11.373415,13.378671,4.027473,0,0,0.0137404
340_adaptive,adaptive,3,4,diagonal_3d,0.125,159952,0.124826,2.010978,11.572485,13.583463,4.057530,0,0,0.0295224
340_adaptive,adaptive,3,4,diagonal_3d,0.150,192279,0.15004,2.019979,11.901167,13.921146,4.099244,0,0,0.0522882
340_adaptive,adaptive,3,4,diagonal_3d,0.175,224176,0.174912,2.036125,12.636044,14.672169,4.136605,0,0,0.07368
340_adaptive,adaptive,3,4,diagonal_3d,0.200,256076,0.199788,2.073238,13.812669,15.885907,4.133684,0,0,0.0797798
340_adaptive,adaptive,3,4,diagonal_3d,0.225,277487,0.2163,40.457243,18.069352,58.526594,4.106153,0,0,0.0829144
340_adaptive,adaptive,3,4,diagonal_3d,0.250,235993,0.183607,199.540897,28.519537,228.060434,4.100546,0,0,0.133709
340_adaptive,adaptive,3,4,diagonal_3d,0.275,190032,0.147509,956.555058,45.948430,1002.503488,4.064165,0,0,0.179243
340_adaptive,adaptive,3,4,diagonal_3d,0.300,171023,0.132614,1530.537533,51.767129,1582.304661,4.062994,0,0,0.219404
340_adaptive,adaptive,3,4,diagonal_3d,0.325,152625,0.118272,2121.407047,62.888690,2184.295737,4.073388,0,0,0.228961
340_adaptive,adaptive,3,4,diagonal_3d,0.350,173058,0.13422,2059.435373,55.978696,2115.414070,4.058503,0,0,0.212954
340_adaptive,adaptive,3,4,diagonal_3d,0.375,165374,0.12824,2609.530189,57.686245,2667.216434,4.061664,0,0,0.215374
340_adaptive,adaptive,3,4,diagonal_3d,0.400,165192,0.128101,2648.892528,56.226805,2705.119334,4.054797,0,0,0.20155
340_adaptive,adaptive,3,4,diagonal_3d,0.425,154367,0.11956,2438.462914,61.824925,2500.287839,4.061057,0,0,0.230644
340_adaptive,adaptive,3,4,diagonal_3d,0.450,154449,0.119712,2570.412845,57.747997,2628.160841,4.065215,0,0,0.222532
340_adaptive,adaptive,3,4,diagonal_3d,0.475,136774,0.105867,2978.970408,68.705963,3047.676371,4.077559,0,0,0.251945
340_adaptive,adaptive,3,4,diagonal_3d,0.500,181697,0.140958,2871.014604,53.050209,2924.064813,4.050835,0,0,0.191137
340_adaptive,adaptive,3,4,diagonal_3d,0.525,151030,0.117037,3308.223421,64.178590,3372.402011,4.066833,0,0,0.222934
340_adaptive,adaptive,3,4,diagonal_3d,0.550,172196,0.133569,3042.361103,52.272174,3094.633276,4.056127,0,0,0.210536
340_adaptive,adaptive,3,4,diagonal_3d,0.575,160316,0.12427,3192.199351,56.589717,3248.789069,4.067312,0,0,0.228716
340_adaptive,adaptive,3,4,diagonal_3d,0.600,171112,0.132693,3146.285657,55.846615,3202.132272,4.065176,0,0,0.210801
340_adaptive,adaptive,3,4,diagonal_3d,0.625,160187,0.124184,3420.193847,61.315542,3481.509389,4.063288,0,0,0.227649
340_adaptive,adaptive,3,4,diagonal_3d,0.650,154708,0.119908,3425.160755,57.392984,3482.553739,4.062750,0,0,0.217517
340_adaptive,adaptive,3,4,diagonal_3d,0.675,156493,0.121264,3437.882726,59.966917,3497.849644,4.062738,0,0,0.220851
340_adaptive,adaptive,3,4,diagonal_3d,0.700,158713,0.12303,3291.282533,59.379111,3350.661644,4.065056,0,0,0.228291
340_adaptive,adaptive,3,4,diagonal_3d,0.725,169929,0.131753,3256.447540,56.036408,3312.483948,4.057820,0,0,0.21473
340_adaptive,adaptive,3,4,diagonal_3d,0.750,150395,0.116498,3903.471479,59.853546,3963.325024,4.069931,0,0,0.217298
340_adaptive,adaptive,3,4,diagonal_3d,0.775,167607,0.129977,3321.840410,56.289481,3378.129891,4.060510,0,0,0.209371
340_adaptive,adaptive,3,4,diagonal_3d,0.800,175466,0.136092,3411.485798,51.802638,3463.288436,4.053514,0,0,0.215117
340_adaptive,adaptive,3,4,diagonal_3d,0.825,171374,0.132888,3449.174677,57.012105,3506.186782,4.057796,0,0,0.205383
340_adaptive,adaptive,3,4,diagonal_3d,0.850,157952,0.122412,3675.562516,61.234850,3736.797367,4.059073,0,0,0.231557
340_adaptive,adaptive,3,4,diagonal_3d,0.875,171350,0.132898,3577.373817,53.725830,3631.099647,4.052013,0,0,0.212727
340_adaptive,adaptive,3,4,diagonal_3d,0.900,162095,0.125624,3537.072376,56.874377,3593.946753,4.066742,0,0,0.221935
340_adaptive,adaptive,3,4,diagonal_3d,0.925,146671,0.113577,3978.558217,67.299218,4045.857435,4.069969,0,0,0.237641
