design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_selections_per_injected_packet,lateral_selections_per_received_packet,escape_activations_per_received_packet
440_flex,flex,4,4,tornado_y,0.050,64179,0.0501109,2.000514,5.990490,7.991004,1.495245,0,0,0
440_flex,flex,4,4,tornado_y,0.075,95843,0.0748328,2.002057,5.995553,7.997609,1.497776,0,0,0
440_flex,flex,4,4,tornado_y,0.100,128013,0.0999469,2.004518,5.998687,8.003205,1.499343,0,0,0
440_flex,flex,4,4,tornado_y,0.125,159953,0.124886,2.008971,5.999762,8.008733,1.499881,0,0,0
440_flex,flex,4,4,tornado_y,0.150,192279,0.150126,2.015529,6.002118,8.017647,1.501059,0,0,0
440_flex,flex,4,4,tornado_y,0.175,224176,0.175024,2.025001,6.001397,8.026398,1.500699,0,0,0
440_flex,flex,4,4,tornado_y,0.200,256078,0.199932,2.037095,6.000418,8.037513,1.500209,0,0,0
440_flex,flex,4,4,tornado_y,0.225,288187,0.224991,2.053624,5.999844,8.053467,1.499922,0,0,0
440_flex,flex,4,4,tornado_y,0.250,320345,0.250096,2.075290,5.998579,8.073868,1.499289,0,0,0
440_flex,flex,4,4,tornado_y,0.275,352107,0.274894,2.101687,5.999307,8.100994,1.499653,0,0,0
440_flex,flex,4,4,tornado_y,0.300,384248,0.299986,2.136363,6.000016,8.136379,1.500008,0,0,0
440_flex,flex,4,4,tornado_y,0.325,416256,0.324975,2.179819,5.999365,8.179184,1.499683,0,0,0
440_flex,flex,4,4,tornado_y,0.350,448322,0.350009,2.238393,6.000027,8.238420,1.500013,0,0,0
440_flex,flex,4,4,tornado_y,0.375,480036,0.374775,2.313246,5.999800,8.313046,1.499900,0,0,0
440_flex,flex,4,4,tornado_y,0.400,511878,0.399637,2.405620,5.998923,8.404543,1.499461,0,0,0
440_flex,flex,4,4,tornado_y,0.425,544103,0.424795,2.532500,5.998858,8.531358,1.499429,0,0,0
440_flex,flex,4,4,tornado_y,0.450,576091,0.449769,2.704765,5.998715,8.703480,1.499357,0,0,0
440_flex,flex,4,4,tornado_y,0.475,608139,0.474784,2.954534,5.998600,8.953133,1.499300,0,0,0
440_flex,flex,4,4,tornado_y,0.500,640164,0.499782,3.350894,5.998504,9.349398,1.499252,0,0,0
440_flex,flex,4,4,tornado_y,0.525,672348,0.524913,4.036205,5.998518,10.034723,1.499259,0,0,0
440_flex,flex,4,4,tornado_y,0.550,704079,0.54968,5.408532,5.998212,11.406744,1.499106,0,0,0
440_flex,flex,4,4,tornado_y,0.575,735754,0.574406,9.333864,5.998199,15.332063,1.499100,0,0,0
440_flex,flex,4,4,tornado_y,0.600,762866,0.595564,47.133701,5.998523,53.132224,1.499261,0,0,0
440_flex,flex,4,4,tornado_y,0.625,767326,0.599046,207.512780,5.999694,213.512474,1.499847,0,0,0
440_flex,flex,4,4,tornado_y,0.650,767636,0.599291,388.855827,5.999769,394.855596,1.499885,0,0,0
440_flex,flex,4,4,tornado_y,0.675,767757,0.599381,558.797656,5.999739,564.797395,1.499870,0,0,0
440_flex,flex,4,4,tornado_y,0.700,767817,0.599427,717.970310,5.999763,723.970073,1.499881,0,0,0
440_flex,flex,4,4,tornado_y,0.725,767844,0.599447,864.563629,5.999760,870.563389,1.499880,0,0,0
440_flex,flex,4,4,tornado_y,0.750,767869,0.599463,1002.524833,5.999765,1008.524599,1.499883,0,0,0
440_flex,flex,4,4,tornado_y,0.775,767887,0.599474,1131.933237,5.999756,1137.932993,1.499878,0,0,0
440_flex,flex,4,4,tornado_y,0.800,767908,0.599487,1252.642861,5.999762,1258.642623,1.499881,0,0,0
440_flex,flex,4,4,tornado_y,0.825,767923,0.599496,1365.551974,5.999751,1371.551725,1.499876,0,0,0
440_flex,flex,4,4,tornado_y,0.850,767936,0.599506,1471.929035,5.999739,1477.928775,1.499870,0,0,0
440_flex,flex,4,4,tornado_y,0.875,767944,0.599513,1571.512180,5.999734,1577.511915,1.499867,0,0,0
440_flex,flex,4,4,tornado_y,0.900,767954,0.59952,1666.378994,5.999742,1672.378736,1.499871,0,0,0
440_flex,flex,4,4,tornado_y,0.925,767967,0.599528,1757.337166,5.999734,1763.336900,1.499867,0,0,0
440_flex,flex,4,4,tornado_y,0.950,767977,0.599534,1842.506775,5.999739,1848.506514,1.499870,0,0,0
440_flex,flex,4,4,tornado_y,0.975,767989,0.599542,1922.487354,5.999737,1928.487090,1.499868,0,0,0
440_flex,flex,4,4,tornado_y,1.000,768000,0.59955,1999.462302,5.999750,2005.462052,1.499875,0,0,0
