design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_per_injected,escape_per_injected,escape_per_received,delivery_ratio
000_adaptive,adaptive,0,0,bit_reverse,0.775,586357,0.456925,1804.391893,21.182901,1825.574793,3.980154,0,0.0646893,0.0648544,0.997454
000_adaptive,adaptive,0,0,bit_reverse,0.800,590415,0.460077,1885.518817,21.101150,1906.619967,3.993006,0,0.0676592,0.0678334,0.997432
000_adaptive,adaptive,0,0,bit_reverse,0.825,581726,0.453248,1982.427066,21.494574,2003.921640,3.996211,0,0.0661755,0.0663543,0.997305
000_adaptive,adaptive,0,0,bit_reverse,0.850,593415,0.46242,2072.666591,20.682838,2093.349429,3.994769,0,0.0651012,0.0652681,0.997442
000_adaptive,adaptive,0,0,bit_reverse,0.875,590427,0.460098,2134.073486,20.868420,2154.941906,3.990313,0,0.0651935,0.0653597,0.997458
000_adaptive,adaptive,0,0,bit_reverse,0.900,593354,0.462414,2224.576730,20.509056,2245.085786,3.982308,0,0.0641354,0.064294,0.997533
000_adaptive,adaptive,0,0,bit_reverse,0.925,579783,0.45178,2328.470475,21.191295,2349.661771,3.986655,0,0.0657901,0.0659612,0.997406
000_adaptive,adaptive,0,0,bit_reverse,0.950,589808,0.459635,2378.104478,20.836929,2398.941407,3.982206,0,0.0635207,0.0636799,0.997499
000_adaptive,adaptive,0,0,bit_reverse,0.975,590523,0.460194,2442.753035,20.602309,2463.355345,3.991766,0,0.0643701,0.0645312,0.997502
000_adaptive,adaptive,0,0,bit_reverse,1.000,578667,0.450933,2526.754058,21.624336,2548.378394,3.977579,0,0.0645207,0.0646854,0.997454
000_adaptive,adaptive,0,0,perfect_shuffle,0.025,31877,0.0248727,2.000031,11.047963,13.047994,4.006125,0,0.000188223,0.00018846,0.998745
000_adaptive,adaptive,0,0,perfect_shuffle,0.050,64179,0.050082,2.000530,11.107932,13.108463,4.016832,0,0.00174512,0.00174713,0.998847
000_adaptive,adaptive,0,0,perfect_shuffle,0.075,95843,0.0747906,2.002141,11.170288,13.172429,4.023733,0,0.00492472,0.00493043,0.998842
000_adaptive,adaptive,0,0,perfect_shuffle,0.100,128013,0.0998961,2.004857,11.325017,13.329874,4.064520,0,0.0119519,0.0119656,0.998859
000_adaptive,adaptive,0,0,perfect_shuffle,0.125,159953,0.12482,2.010133,11.575089,13.585223,4.116411,0,0.0215313,0.021556,0.998856
000_adaptive,adaptive,0,0,perfect_shuffle,0.150,192279,0.150032,2.018085,12.235778,14.253862,4.156019,0,0.0279958,0.0280305,0.998762
000_adaptive,adaptive,0,0,perfect_shuffle,0.175,224158,0.174873,2.055924,13.183740,15.239664,4.136849,0,0.0265661,0.0266041,0.998572
000_adaptive,adaptive,0,0,perfect_shuffle,0.200,256077,0.199767,2.259994,14.003293,16.263287,4.107320,0,0.0245746,0.0246107,0.998536
000_adaptive,adaptive,0,0,perfect_shuffle,0.225,287981,0.224578,4.820045,15.212823,20.032867,4.085344,0,0.0242099,0.0242538,0.998191
000_adaptive,adaptive,0,0,perfect_shuffle,0.250,317180,0.247316,38.098966,16.911263,55.010229,4.082565,0,0.0270824,0.0271351,0.998058
000_adaptive,adaptive,0,0,perfect_shuffle,0.275,338724,0.264052,130.906307,18.852198,149.758506,4.101149,0,0.0357754,0.0358534,0.997824
000_adaptive,adaptive,0,0,perfect_shuffle,0.300,358293,0.279193,187.208131,21.272605,208.480735,4.111370,0,0.044525,0.0446404,0.997416
000_adaptive,adaptive,0,0,perfect_shuffle,0.325,306919,0.23843,251.687756,29.924107,281.611863,4.034195,0,0.0649455,0.0653132,0.99437
000_adaptive,adaptive,0,0,perfect_shuffle,0.350,205802,0.159441,759.352438,54.514244,813.866682,3.741518,0,0.101748,0.102605,0.991652
000_adaptive,adaptive,0,0,perfect_shuffle,0.375,200798,0.155616,768.716966,40.764213,809.481179,3.645857,0,0.088472,0.0891871,0.991982
000_adaptive,adaptive,0,0,perfect_shuffle,0.400,225719,0.174957,988.395937,56.594963,1044.990900,3.746987,0,0.0901696,0.0908839,0.992141
000_adaptive,adaptive,0,0,perfect_shuffle,0.425,202970,0.15716,1154.744807,47.277568,1202.022375,3.581329,0,0.106957,0.107916,0.991107
000_adaptive,adaptive,0,0,perfect_shuffle,0.450,206969,0.160381,910.509143,35.354502,945.863645,3.537523,0,0.0989375,0.0997477,0.991878
000_adaptive,adaptive,0,0,perfect_shuffle,0.475,228377,0.176967,1411.630692,62.703701,1474.334393,3.613673,0,0.093569,0.0943369,0.99186
000_adaptive,adaptive,0,0,perfect_shuffle,0.500,220644,0.170988,1194.013022,54.353359,1248.366381,3.471711,0,0.103144,0.103982,0.991937
000_adaptive,adaptive,0,0,perfect_shuffle,0.525,223338,0.173085,1727.670551,57.377560,1785.048111,3.570307,0,0.106086,0.106942,0.99199
000_adaptive,adaptive,0,0,perfect_shuffle,0.550,211569,0.163895,1130.317687,40.091403,1170.409090,3.440723,0,0.106925,0.107834,0.991568
000_adaptive,adaptive,0,0,perfect_shuffle,0.575,208478,0.161441,1287.494072,39.513802,1327.007873,3.321166,0,0.10769,0.108646,0.991203
000_adaptive,adaptive,0,0,perfect_shuffle,0.600,193917,0.150151,1348.695514,53.161307,1401.856821,3.209160,0,0.124265,0.125379,0.99111
000_adaptive,adaptive,0,0,perfect_shuffle,0.625,217649,0.168686,1553.233190,43.308460,1596.541650,3.369849,0,0.105551,0.106397,0.992047
000_adaptive,adaptive,0,0,perfect_shuffle,0.650,213972,0.165858,1614.044127,31.669733,1645.713860,3.232075,0,0.102191,0.102997,0.992177
000_adaptive,adaptive,0,0,perfect_shuffle,0.675,228178,0.176846,1895.305302,51.913497,1947.218799,3.389582,0,0.0952414,0.0960051,0.992046
000_adaptive,adaptive,0,0,perfect_shuffle,0.700,251759,0.195309,2223.077553,49.511808,2272.589361,3.518612,0,0.0966917,0.0973736,0.992997
000_adaptive,adaptive,0,0,perfect_shuffle,0.725,234210,0.181659,1853.665351,36.013857,1889.679207,3.450418,0,0.0978395,0.098549,0.992801
000_adaptive,adaptive,0,0,perfect_shuffle,0.750,238713,0.185095,2123.829973,46.311969,2170.141942,3.431249,0,0.0946241,0.0953398,0.992493
000_adaptive,adaptive,0,0,perfect_shuffle,0.775,212152,0.164403,2118.130847,45.854759,2163.985606,3.388650,0,0.0912553,0.0919995,0.991911
000_adaptive,adaptive,0,0,perfect_shuffle,0.800,234184,0.181666,2377.326010,39.533451,2416.859461,3.366941,0,0.096659,0.0973453,0.99295
000_adaptive,adaptive,0,0,perfect_shuffle,0.825,230986,0.179112,2438.847638,50.068371,2488.916009,3.461535,0,0.095153,0.0958681,0.992541
000_adaptive,adaptive,0,0,perfect_shuffle,0.850,231130,0.17917,2529.212206,48.215023,2577.427230,3.435445,0,0.100446,0.10123,0.992247
000_adaptive,adaptive,0,0,perfect_shuffle,0.875,201498,0.155998,2348.450756,39.974168,2388.424924,3.367467,0,0.120562,0.121661,0.990968
000_adaptive,adaptive,0,0,perfect_shuffle,0.900,228020,0.176831,2534.919176,39.292029,2574.211205,3.336912,0,0.0896456,0.0903094,0.99265
000_adaptive,adaptive,0,0,perfect_shuffle,0.925,239388,0.185704,2568.834447,44.005831,2612.840278,3.511306,0,0.098096,0.0987922,0.992953
000_adaptive,adaptive,0,0,perfect_shuffle,0.950,210280,0.162891,2686.727766,47.193256,2733.921022,3.367461,0,0.101869,0.102738,0.99154
000_adaptive,adaptive,0,0,perfect_shuffle,0.975,226540,0.175565,2595.230043,46.592116,2641.822159,3.469102,0,0.103377,0.104213,0.991979
000_adaptive,adaptive,0,0,perfect_shuffle,1.000,228960,0.177458,2647.754369,59.582304,2707.336673,3.447417,0,0.102791,0.103612,0.992077
340_adaptive,adaptive,3,4,bit_complement,0.025,31877,0.0248781,2.000031,10.294687,12.294718,3.626743,0,0.000125482,0.000125612,0.998965
340_adaptive,adaptive,3,4,bit_complement,0.050,64179,0.0500914,2.000546,10.348831,12.349377,3.630379,0,0.0012621,0.00126332,0.999034
340_adaptive,adaptive,3,4,bit_complement,0.075,95843,0.0748008,2.002162,10.418466,12.420628,3.636430,0,0.00414219,0.00414643,0.998977
340_adaptive,adaptive,3,4,bit_complement,0.100,128013,0.0999078,2.005005,10.508453,12.513458,3.647839,0,0.00945217,0.00946185,0.998977
340_adaptive,adaptive,3,4,bit_complement,0.125,159953,0.124835,2.010370,10.636076,12.646446,3.668832,0,0.0176552,0.0176733,0.998975
